SPEC Algorytmy i technologie internetwoe 1
SEM I ,ECTS,W,C,L,P,S,Zal.
ALGORYTMY GRAFOWE,4,15,0,0,0,15,e
ALGORYTMY OPTYMALIZACJI DYSKRETNEJ,2,15,0,15,0,0,e
ALGORYTMY RÓWNOLEG£E I ROZPROSZONE,2,15,0,0,15,0,z
BADANIA OPERACYJNE,5,30,15,0,0,0,e
BEZPIECZEÑSTWO SYSTEMÓW,2,15,0,0,15,0,z
PODSTAWY ANALIZY RYNKÓW KAPITA£OWYCH,1,15,0,0,0,0,z
SYSTEMY OBLICZENIOWE WYSOKIEJ WYDAJNOŒC,4,15,0,15,0,0,z
SYSTEMY Z BAZ¥ WIEDZY,2,15,0,15,0,0,z
U¯YTECZNOŒÆ OPROGRAMOWANIA,2,15,0,0,15,0,z
ZARZ¥DZANIE PROJEKTEM INFORMATYCZNYM,2,15,0,0,15,0,e

SEM II,ECTS,W,C,L,P,S,Zal.
ELEMENTY BIOINFORMATYKI,3,15,0,0,15,0,z
JÊZYKI SKRYPTOWE I ICH ZASTOSOWANIA,3,15,0,0,15,0,e
MODELOWANIE I ANALIZA BIZNESOWA,2,15,0,0,15,0,z
MODELOWANIE I SYMULACJA SYSTEMÓW-(INF),5,30,0,15,0,0,e
OBLICZENIA KWANTOWE,2,15,15,0,0,0,z
PODSTAWY KRYPTOGRAFII,3,15,15,0,0,0,e
ZAAWANSOWANE TECHNIKI OBIEKTOWE,2,15,0,15,0,15,z
ZARZ¥DZANIE EWOLUCJ¥ SYSTEMÓW INFORMAC.,2,15,0,0,15,0,e
Zarz¹dzanie produktem w bran¿y IT,1,0,0,0,0,15,z

SEM III,ECTS,W,C,L,P,S,Zal.
MODELOWANIE INTERNETU,4,15,0,0,15,0,e
PRACA DYPLOMOWA MAGISTERSKA-II,14,0,0,0,0,0,z
SYNTEZA APLIKACJI BIZNESOWYCH,3,15,0,15,0,0,z
TECHNOLOGIE SPO£ECZEÑSTWA INFORMAC.(P),4,0,0,0,15,15,e


SPEC Algorytmy i technologie internetwoe 2
SEM I,ECTS,W,C,L,P,S,Zal.
ALGORYTMY GRAFOWE,4,15,0,0,0,15,e
ALGORYTMY OPTYMALIZACJI DYSKRETNEJ,2,15,0,15,0,0,e
ALGORYTMY RÓWNOLEG£E I ROZPROSZONE,2,15,0,0,15,0,z
AUTOMATYZACJA PROCESÓW BIZNESOWYCH,2,15,0,0,15,0,e
